StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
FOOTE ST NE,38.89757386217098,-76.93484234375616,FOOTE ST NE,38.8975034177852,-76.93910700566946,25.66
FOOTE ST NE,38.8975034177852,-76.93910700566946,FOOTE ST NE,38.897154088487355,-76.91840928682161,127.23
FOOTE ST NE,38.897154088487355,-76.91840928682161,FRANKLIN ST NE,38.92564945615866,-76.98801563322141,10378.54
FRANKLIN ST NE,38.92564945615866,-76.98801563322141,FRANKLIN ST NE,38.9255864618816,-76.96638836476134,22.94
FRANKLIN ST NE,38.9255864618816,-76.96638836476134,GALLATIN ST NE,38.95238699945872,-77.00795561442843,9761.3
GALLATIN ST NE,38.95238699945872,-77.00795561442843,GALLOWAY ST NE,38.95298042846715,-76.99529434278948,216.14
GALLOWAY ST NE,38.95298042846715,-76.99529434278948,GIRARD ST NE,38.926510880080734,-76.99731164072033,9640.75
GIRARD ST NE,38.926510880080734,-76.99731164072033,GIRARD ST NE,38.926720160335314,-76.98720495669974,76.22
GIRARD ST NE,38.926720160335314,-76.98720495669974,GIRARD ST NE,38.92665799886464,-76.97987556165938,22.64
GIRARD ST NE,38.92665799886464,-76.97987556165938,GRANT ST NE,38.89834703408885,-76.93144323346175,10311.38
GRANT ST NE,38.89834703408885,-76.93144323346175,GRANT ST NE,38.89837460034899,-76.941285973048,10.04
GRANT ST NE,38.89837460034899,-76.941285973048,HAMILTON ST NE,38.95347718836626,-77.00840956289285,20069.43
HAMILTON ST NE,38.95347718836626,-77.00840956289285,HAMLIN ST NE,38.92743398840942,-76.99635380864318,9485.46
HAMLIN ST NE,38.92743398840942,-76.99635380864318,HAMLIN ST NE,38.927846699391246,-76.98588728120586,150.32
HAMLIN ST NE,38.927846699391246,-76.98588728120586,HAMLIN ST NE,38.92773072717547,-76.97613960978111,42.24
HAMLIN ST NE,38.92773072717547,-76.97613960978111,HAMLIN ST NE,38.927727106871906,-76.9698387313708,1.32
