P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
PenC,38.87632204707956,-77.05702684244545,H56,38.91681538320637,-77.06120140091524,2.8023043347203105,355.3953706210077,175.39274934690945,355.39274934690945,175.39537062100771,"Dist factor of:2.8025, Dist multiple:2.8025"
NOa,38.92154464050518,-77.06705128052432,elNc,38.89344928705847,-77.04098558,2.393667313653798,144.05377132685533,324.0701422786659,144.0701422786659,324.0537713268553,"Dist factor of:2.3936, Dist multiple:2.3936"
NOa,38.92154464050518,-77.06705128052432,SF03,38.77367519361357,-76.97215841432278,11.412375704298949,153.3210578434166,333.3805795642324,153.38057956423245,333.3210578434166,Dist multiple:0.4755
M,38.889484,-77.035278,CapK,38.889801,-77.00904745,1.4142754953559138,89.10585186608176,269.1223199921261,89.12231999212611,269.10585186608176,"Dist factor of:1.4142, Dist multiple:1.4142"
M,38.889484,-77.035278,Chk12,38.88869436289873,-76.9425428132187,4.999751048960958,90.59510826710977,270.65332880181813,90.65332880181813,270.59510826710977,"Dist factor of:5.0000, Dist multiple:5.0000"
MV,38.735159,-77.01151395666083,H33,38.92053966660955,-77.11324805943606,13.915925063877816,336.7994672142001,156.7356816136903,336.7356816136903,156.79946721420015,Dist multiple:1.0705
MV,38.735159,-77.01151395666083,H35,38.92066077312896,-77.07975099520537,13.31505129852501,343.96873196233287,163.92594841481525,343.92594841481525,163.96873196233287,Dist multiple:0.4755
MVa,38.74397251515714,-77.01540232831105,Chk40,38.89172055971182,-76.89912135737723,11.968525740085196,31.584648436881203,211.65753883599498,31.657538835994956,211.5846484368812,Dist multiple:2.3936
HighWb,38.80859367009808,-77.06728222257168,Chk08,38.8580454440363,-77.07846439947777,3.46411726742241,349.9736643335059,169.96665247144537,349.9666524714454,169.9736643335059,Dist multiple:1.7321
HighWb,38.80859367009808,-77.06728222257168,Chk43,38.94312493001874,-77.0192667064925,9.634407818980469,15.573608108076924,195.6037443532625,15.603744353262528,195.5736081080769,Dist multiple:1.0705
HighWb,38.80859367009808,-77.06728222257168,H32,38.9243596243616,-77.09063005508365,8.084217134921323,351.04710568106253,171.03245473096547,351.03245473096547,171.04710568106248,Dist multiple:0.4755
WHs,38.897561,-77.036569,WHb,38.89609664728791,-77.03656881060775,0.10101192780429734,179.99420907975292,359.9942091986761,179.99420919867612,359.9942090797529,Dist factor of:1.4142
WHs,38.897561,-77.036569,Chk01,38.80358701301893,-77.0045692366363,6.708199036196636,165.07957487959848,345.0996480654602,165.0996480654602,345.07957487959845,Dist multiple:2.2361
