Label, Latitude, Longitude, Azimuth_To_Target
S W 0, 38.790339000, -77.040586000, -44.9876
S W 1, 38.797588888, -77.049846829, -44.9934
S W 2, 38.804838033, -77.059109534, -44.9992
S W 3, 38.812086434, -77.068374117, -45.0050
S W 4, 38.819334092, -77.077640577, -45.0108
S W 5, 38.826581005, -77.086908916, -45.0166
S W 6, 38.833827174, -77.096179135, -45.0224
S W 7, 38.841072598, -77.105451233, -45.0282
S W 8, 38.848317277, -77.114725212, -45.0340
S W 9, 38.855561211, -77.124001072, -45.0399
S W 10, 38.862804399, -77.133278814, -45.0457
S W 11, 38.870046840, -77.142558439, -45.0515
S W 12, 38.877288535, -77.151839948, -45.0573
S W 13, 38.884529484, -77.161123340, -45.0632
S W 14, 38.893245000, -77.172301000, -45.0690
W S 0, 38.893245000, -77.172301000, 134.9298
W S 1, 38.886004951, -77.163015339, 134.9356
W S 2, 38.878764155, -77.153731563, 134.9415
W S 3, 38.871522612, -77.144449671, 134.9473
W S 4, 38.864280323, -77.135169662, 134.9531
W S 5, 38.857037287, -77.125891536, 134.9589
W S 6, 38.849793505, -77.116615292, 134.9648
W S 7, 38.842548978, -77.107340930, 134.9706
W S 8, 38.835303706, -77.098068449, 134.9764
W S 9, 38.828057688, -77.088797847, 134.9822
W S 10, 38.820810927, -77.079529125, 134.9880
W S 11, 38.813563421, -77.070262282, 134.9938
W S 12, 38.806315171, -77.060997317, 134.9996
W S 13, 38.799066178, -77.051734229, 135.0054
W S 14, 38.790339000, -77.040586000, 135.0112
N W 0, 38.995957000, -77.040986000, -135.0047
N W 1, 38.988707596, -77.050272928, -135.0106
N W 2, 38.981457444, -77.059557962, -135.0164
N W 3, 38.974206544, -77.068841101, -135.0223
N W 4, 38.966954897, -77.078122348, -135.0281
N W 5, 38.959702503, -77.087401702, -135.0339
N W 6, 38.952449362, -77.096679165, -135.0398
N W 7, 38.945195475, -77.105954736, -135.0456
N W 8, 38.937940842, -77.115228417, -135.0514
N W 9, 38.930685463, -77.124500209, -135.0572
N W 10, 38.923429339, -77.133770111, -135.0631
N W 11, 38.916172470, -77.143038125, -135.0689
N W 12, 38.908914857, -77.152304251, -135.0747
N W 13, 38.901656499, -77.161568491, -135.0805
N W 14, 38.893245000, -77.172301000, -135.0864
W N 0, 38.893245000, -77.172301000, 44.9127
W N 1, 38.900504220, -77.163038946, 44.9185
W N 2, 38.907762696, -77.153775006, 44.9244
W N 3, 38.915020428, -77.144509180, 44.9302
W N 4, 38.922277415, -77.135241465, 44.9360
W N 5, 38.929533657, -77.125971863, 44.9418
W N 6, 38.936789154, -77.116700371, 44.9477
W N 7, 38.944043906, -77.107426990, 44.9535
W N 8, 38.951297911, -77.098151719, 44.9593
W N 9, 38.958551171, -77.088874557, 44.9651
W N 10, 38.965803683, -77.079595503, 44.9710
W N 11, 38.973055449, -77.070314557, 44.9768
W N 12, 38.980306467, -77.061031718, 44.9827
W N 13, 38.987556738, -77.051746985, 44.9885
W N 14, 38.995957000, -77.040986000, 44.9943
N E 0, 38.995957000, -77.040986000, 135.0017
N E 1, 38.988707977, -77.031698583, 135.0076
N E 2, 38.981458207, -77.022413060, 135.0134
N E 3, 38.974207688, -77.013129432, 135.0192
N E 4, 38.966956423, -77.003847696, 135.0251
N E 5, 38.959704410, -76.994567853, 135.0309
N E 6, 38.952451650, -76.985289901, 135.0367
N E 7, 38.945198144, -76.976013841, 135.0426
N E 8, 38.937943892, -76.966739671, 135.0484
N E 9, 38.930688894, -76.957467391, 135.0542
N E 10, 38.923433151, -76.948196999, 135.0601
N E 11, 38.916176662, -76.938928496, 135.0659
N E 12, 38.908919429, -76.929661881, 135.0717
N E 13, 38.901661452, -76.920397153, 135.0775
N E 14, 38.892860000, -76.909166000, 135.0833
E N 0, 38.892860000, -76.909166000, -44.9154
E N 1, 38.900118879, -76.918428441, -44.9212
E N 2, 38.907377015, -76.927692769, -44.9271
E N 3, 38.914634406, -76.936958983, -44.9329
E N 4, 38.921891053, -76.946227085, -44.9387
