StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
8TH ST NW,38.95471645786264,-77.02386541056967,8TH ST NW,38.977762525750556,-77.02444950804767,166.11
8TH ST NW,38.977762525750556,-77.02444950804767,8TH ST NW,38.89967261983917,-77.02294468192544,427.82
8TH ST NW,38.89967261983917,-77.02294468192544,9TH ST NW,38.95468265337771,-77.025630491588,764.4
9TH ST NW,38.95468265337771,-77.025630491588,9TH ST NW,38.97482428392641,-77.02561371879278,4.77
9TH ST NW,38.97482428392641,-77.02561371879278,9TH ST NW,38.981063552687786,-77.02541055383179,57.76
9TH ST NW,38.981063552687786,-77.02541055383179,9TH ST NW,38.90471994731047,-77.0239712797979,409.16
9TH ST NW,38.90471994731047,-77.0239712797979,9TH ST NW,38.922389518781486,-77.02429113106787,91.03
9TH ST NW,38.922389518781486,-77.02429113106787,9TH ST NW,38.93682534043523,-77.02529659048928,286.07
9TH ST NW,38.93682534043523,-77.02529659048928,10TH ST NW,38.918773330670675,-77.0259941383188,198.42
10TH ST NW,38.918773330670675,-77.0259941383188,10TH ST NW,38.91411406796575,-77.02600203293478,2.25
10TH ST NW,38.91411406796575,-77.02600203293478,10TH ST NW,38.901502313723,-77.02598975279624,3.49
10TH ST NW,38.901502313723,-77.02598975279624,10TH ST NW,38.93576197257301,-77.0272518841645,359.2
10TH ST NW,38.93576197257301,-77.0272518841645,11TH ST NW,38.915417285726356,-77.02726054031032,2.46
11TH ST NW,38.915417285726356,-77.02726054031032,12TH ST NW,38.901221502318954,-77.02810024002508,238.93
12TH ST NW,38.901221502318954,-77.02810024002508,12TH ST NW,38.98199353348072,-77.02813062081084,8.65
12TH ST NW,38.98199353348072,-77.02813062081084,12TH ST NW,38.92310594640637,-77.02804555132471,24.18
12TH ST NW,38.92310594640637,-77.02804555132471,12TH ST NW,38.9174060029292,-77.02808523384506,11.29
12TH ST NW,38.9174060029292,-77.02808523384506,12TH ST NW,38.96569853378518,-77.02853441907783,127.81
12TH ST NW,38.96569853378518,-77.02853441907783,13TH ST NW,38.90228054149928,-77.02962698671594,310.67
13TH ST NW,38.90228054149928,-77.02962698671594,13TH ST NW,38.94130767001193,-77.02969617249629,19.69
13TH ST NW,38.94130767001193,-77.02969617249629,13 1/2 ST NW,38.89507615382485,-77.03077651531561,307.29
13 1/2 ST NW,38.89507615382485,-77.03077651531561,13TH ST NW,38.9825542366581,-77.02968139554916,311.7
13TH ST NW,38.9825542366581,-77.02968139554916,14TH ST NW,38.96112531747494,-77.0334240767287,1063.96
14TH ST NW,38.96112531747494,-77.0334240767287,14TH ST NW,38.92770013021,-77.03237521609745,298.26
14TH ST NW,38.92770013021,-77.03237521609745,14TH ST NW,38.89741722530472,-77.03195883979016,118.46
14TH ST NW,38.89741722530472,-77.03195883979016,15TH ST NW,38.91539961936346,-77.03486608477095,827.45
15TH ST NW,38.91539961936346,-77.03486608477095,15TH ST NW,38.97524178836894,-77.03477619023734,25.58
15TH ST NW,38.97524178836894,-77.03477619023734,15TH ST NW,38.94634558853749,-77.03451999045946,72.84
15TH ST NW,38.94634558853749,-77.03451999045946,15TH ST NW,38.89592513772889,-77.03358418584781,266.16
15TH ST NW,38.89592513772889,-77.03358418584781,16TH ST NW,38.90309278791549,-77.03654372491545,842.35
16TH ST NW,38.90309278791549,-77.03654372491545,16TH ST NW,38.89236076975013,-77.03654692352207,0.91
16TH ST NW,38.89236076975013,-77.03654692352207,16TH ST NW,38.90734039373965,-77.03653196449521,4.26
16TH ST NW,38.90734039373965,-77.03653196449521,16TH ST NW,38.95053378913351,-77.03642107844503,31.56
16TH ST NW,38.95053378913351,-77.03642107844503,17TH ST NW,38.909941588761676,-77.03849302375784,589.27
17TH ST NW,38.909941588761676,-77.03849302375784,17TH ST NW,38.96218550497881,-77.03832281120778,48.44
17TH ST NW,38.96218550497881,-77.03832281120778,17TH ST NW,38.93313274035826,-77.03884985229323,149.87
17TH ST NW,38.93313274035826,-77.03884985229323,17TH ST NW,38.9222826319108,-77.03893579285342,24.45
