Label, Step, Latitude, Longitude, Azimuth_To_Target
NE6 SW4 8, 8, 38.852076131, -77.066734074, -134.7766
NE6 SW4 9, 9, 38.841864509, -77.079892630, -134.7848
NE6 SW4 10, 10, 38.831543000, -77.093187000, -134.7931
SW6 NE4 0, 0, 38.851832000, -77.119264000, 44.8207
SW6 NE4 1, 1, 38.862114220, -77.106193846, 44.8289
SW6 NE4 2, 2, 38.872394959, -77.093119926, 44.8371
SW6 NE4 3, 3, 38.882674216, -77.080042240, 44.8453
SW6 NE4 4, 4, 38.892951990, -77.066960785, 44.8535
SW6 NE4 5, 5, 38.903228279, -77.053875559, 44.8617
SW6 NE4 6, 6, 38.913503084, -77.040786560, 44.8699
SW6 NE4 7, 7, 38.923776403, -77.027693787, 44.8781
SW6 NE4 8, 8, 38.934048234, -77.014597236, 44.8864
SW6 NE4 9, 9, 38.944318578, -77.001496908, 44.8946
SW6 NE4 10, 10, 38.954733000, -76.988207000, 44.9028
NE4 SW6 0, 0, 38.954733000, -76.988207000, -135.0970
NE4 SW6 1, 1, 38.944464166, -77.001311163, -135.1053
NE4 SW6 2, 2, 38.934193843, -77.014411545, -135.1135
NE4 SW6 3, 3, 38.923922033, -77.027508148, -135.1217
NE4 SW6 4, 4, 38.913648735, -77.040600975, -135.1300
NE4 SW6 5, 5, 38.903373952, -77.053690027, -135.1382
NE4 SW6 6, 6, 38.893097683, -77.066775307, -135.1464
NE4 SW6 7, 7, 38.882819930, -77.079856816, -135.1546
NE4 SW6 8, 8, 38.872540694, -77.092934555, -135.1628
NE4 SW6 9, 9, 38.862259976, -77.106008528, -135.1710
NE4 SW6 10, 10, 38.851832000, -77.119264000, -135.1792
SW8 NE2 0, 0, 38.872671000, -77.145945000, 44.9379
SW8 NE2 1, 1, 38.882932248, -77.132844139, 44.9461
SW8 NE2 2, 2, 38.893192009, -77.119739510, 44.9543
SW8 NE2 3, 3, 38.903450279, -77.106631110, 44.9626
SW8 NE2 4, 4, 38.913707060, -77.093518936, 44.9708
SW8 NE2 5, 5, 38.923962350, -77.080402988, 44.9791
SW8 NE2 6, 6, 38.934216148, -77.067283264, 44.9873
SW8 NE2 7, 7, 38.944468452, -77.054159760, 44.9955
SW8 NE2 8, 8, 38.954719263, -77.041032477, 45.0038
SW8 NE2 9, 9, 38.964968578, -77.027901411, 45.0121
SW8 NE2 10, 10, 38.975351000, -77.014594000, 45.0203
NE2 SW8 0, 0, 38.975351000, -77.014594000, -134.9796
NE2 SW8 1, 1, 38.965103200, -77.027728900, -134.9878
NE2 SW8 2, 2, 38.954853904, -77.040860016, -134.9961
NE2 SW8 3, 3, 38.944603113, -77.053987350, -135.0043
NE2 SW8 4, 4, 38.934350828, -77.067110902, -135.0126
NE2 SW8 5, 5, 38.924097050, -77.080230677, -135.0208
NE2 SW8 6, 6, 38.913841780, -77.093346674, -135.0291
NE2 SW8 7, 7, 38.903585019, -77.106458897, -135.0373
NE2 SW8 8, 8, 38.893326767, -77.119567347, -135.0455
NE2 SW8 9, 9, 38.883067027, -77.132672026, -135.0538
NE2 SW8 10, 10, 38.872671000, -77.145945000, -135.0620
SE2 NW8 0, 0, 38.872410000, -76.935424000, -44.9468
SE2 NW8 1, 1, 38.882669650, -76.948526862, -44.9551
SE2 NW8 2, 2, 38.892927811, -76.961633493, -44.9633
SE2 NW8 3, 3, 38.903184482, -76.974743895, -44.9715
SE2 NW8 4, 4, 38.913439663, -76.987858069, -44.9798
SE2 NW8 5, 5, 38.923693353, -77.000976018, -44.9880
SE2 NW8 6, 6, 38.933945550, -77.014097744, -44.9963
SE2 NW8 7, 7, 38.944196253, -77.027223248, -45.0045
SE2 NW8 8, 8, 38.954445462, -77.040352533, -45.0128
SE2 NW8 9, 9, 38.964693176, -77.053485600, -45.0210
SE2 NW8 10, 10, 38.975442000, -77.067267000, -45.0293
NW8 SE2 0, 0, 38.975442000, -77.067267000, 134.9703
NW8 SE2 1, 1, 38.965195856, -77.054129963, 134.9786
NW8 SE2 2, 2, 38.954948216, -77.040996710, 134.9868
NW8 SE2 3, 3, 38.944699080, -77.027867240, 134.9951
NW8 SE2 4, 4, 38.934448450, -77.014741550, 135.0033
NW8 SE2 5, 5, 38.924196327, -77.001619639, 135.0116
NW8 SE2 6, 6, 38.913942710, -76.988501504, 135.0198
NW8 SE2 7, 7, 38.903687603, -76.975387145, 135.0281
NW8 SE2 8, 8, 38.893431004, -76.962276558, 135.0363
NW8 SE2 9, 9, 38.883172916, -76.949169742, 135.0445
NW8 SE2 10, 10, 38.872410000, -76.935424000, 135.0528
SE4 NW6 0, 0, 38.851756000, -76.961890000, -44.8814
SE4 NW6 1, 1, 38.862027371, -76.974974086, -44.8897
SE4 NW6 2, 2, 38.872297257, -76.988061937, -44.8979
SE4 NW6 3, 3, 38.882565658, -77.001153555, -44.9061
SE4 NW6 4, 4, 38.892832573, -77.014248941, -44.9143
SE4 NW6 5, 5, 38.903098001, -77.027348099, -44.9225
SE4 NW6 6, 6, 38.913361941, -77.040451029, -44.9308
SE4 NW6 7, 7, 38.923624391, -77.053557734, -44.9390
SE4 NW6 8, 8, 38.933885352, -77.066668216, -44.9472
SE4 NW6 9, 9, 38.944144822, -77.079782476, -44.9555
SE4 NW6 10, 10, 38.954909000, -77.093548000, -44.9637
NW6 SE4 0, 0, 38.954909000, -77.093548000, 135.0359
NW6 SE4 1, 1, 38.944651096, -77.080429773, 135.0441
NW6 SE4 2, 2, 38.934391700, -77.067315326, 135.0524
