Label, Step, Latitude, Longitude, Azimuth_To_Target
S AC 1, 1, 38.802762505, -77.031046378, 31.0050
S AC 2, 2, 38.815185205, -77.021503442, 31.0110
S AC 3, 3, 38.827607098, -77.011957191, 31.0170
S AC 4, 4, 38.840028184, -77.002407621, 31.0229
S AC 5, 5, 38.852448463, -76.992854730, 31.0289
S AC 6, 6, 38.864867934, -76.983298517, 31.0349
S AC 7, 7, 38.877286597, -76.973738977, 31.0409
S AC 8, 8, 38.889704450, -76.964176110, 31.0469
S AC 9, 9, 38.902121493, -76.954609913, 31.0529
S AC 10, 10, 38.918582940, -76.941921770, 31.0590
AC S 0, 0, 38.918582940, -76.941921770, -148.9391
AC S 1, 1, 38.906166972, -76.951492387, -148.9451
AC S 2, 2, 38.893750192, -76.961059670, -148.9511
AC S 3, 3, 38.881332603, -76.970623622, -148.9571
AC S 4, 4, 38.868914204, -76.980184245, -148.9631
AC S 5, 5, 38.856494997, -76.989741542, -148.9691
AC S 6, 6, 38.844074981, -76.999295515, -148.9751
AC S 7, 7, 38.831654157, -77.008846166, -148.9811
AC S 8, 8, 38.819232527, -77.018393499, -148.9871
AC S 9, 9, 38.806810090, -77.027937514, -148.9931
AC S 10, 10, 38.790339000, -77.040586000, -148.9990
RC AC 0, 0, 38.986908660, -77.052322070, 128.3657
RC AC 1, 1, 38.977911938, -77.037763357, 128.3749
RC AC 2, 2, 38.968913386, -77.023208329, 128.3840
RC AC 3, 3, 38.959913005, -77.008656984, 128.3932
RC AC 4, 4, 38.950910796, -76.994109320, 128.4023
RC AC 5, 5, 38.941906761, -76.979565337, 128.4114
RC AC 6, 6, 38.932900900, -76.965025032, 128.4206
RC AC 7, 7, 38.918582940, -76.941921770, 128.4297
AC RC 0, 0, 38.918582940, -76.941921770, -51.5649
AC RC 1, 1, 38.927591700, -76.956456230, -51.5740
AC RC 2, 2, 38.936598637, -76.970994367, -51.5832
AC RC 3, 3, 38.945603748, -76.985536181, -51.5923
AC RC 4, 4, 38.954607034, -77.000081676, -51.6015
AC RC 5, 5, 38.963608492, -77.014630851, -51.6106
AC RC 6, 6, 38.972608122, -77.029183708, -51.6198
AC RC 7, 7, 38.986908660, -77.052322070, -51.6289
